survey_no,reference_area_sqm,municipal_area_sqm,area_difference_sqm,area_difference_percent,severity
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1236.0,36.0,3.0,MODERATE
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1152.0,48.0,4.0,MODERATE
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1248.0,48.0,4.0,MODERATE
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1140.0,60.0,5.0,MODERATE
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1224.0,24.0,2.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
,1200.0,1200.0,0.0,0.0,LOW
