parcel_id,survey_no,cadastral_id,spatial_similarity,area_similarity,owner_similarity,identifier_similarity,confidence,status
P0001,SRV-1001,P0001,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0002,SRV-1002,P0002,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0003,SRV-1003,P0003,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0004,SRV-1004,P0004,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0005,SRV-1005,P0005,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0006,SRV-1006,P0006,100.0,100.0,80.0,100.0,96.0,HIGH CONFIDENCE
P0007,SRV-1007,P0007,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0008,SRV-1008,P0008,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0009,SRV-1009,P0009,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0010,SRV-1010,P0010,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0011,SRV-1011,P0011,100.0,97.0,100.0,100.0,99.25,HIGH CONFIDENCE
P0012,SRV-1012,P0012,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0013,SRV-1013,P0013,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0014,SRV-1014,P0014,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0015,SRV-1015,P0015,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0016,SRV-1016,P0016,100.0,100.0,10.53,100.0,82.11,LIKELY MATCH
P0017,SRV-1017,P0017,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0018,SRV-1018,P0018,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0019,SRV-1019,P0019,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0020,SRV-1020,P0020,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0021,SRV-1021,P0021,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0022,SRV-1022,P0022,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0023,SRV-1023,P0023,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0024,SRV-1024,P0024,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0025,SRV-1025,P0025,100.0,100.0,100.0,100.0,100.0,HIGH CONFIDENCE
P0026,SRV-1026,P0026,100.0,97.0,100.0,100.0,99.25,HIGH CONFIDENCE
