parcel_id,municipal_plot_id,spatial_similarity,area_similarity,owner_similarity,identifier_similarity,confidence,status
P0001,M-8000,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0002,M-8001,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0003,M-8002,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0004,M-8003,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0005,M-8004,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0006,M-8005,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0007,M-8006,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0008,M-8007,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0009,M-8008,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0010,M-8009,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0011,M-8010,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0012,M-8011,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0013,M-8012,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0014,M-8013,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0015,M-8014,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0016,M-8015,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0017,M-8016,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0018,M-8017,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0019,M-8018,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0020,M-8019,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0021,M-8020,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0022,M-8021,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0023,M-8022,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0024,M-8023,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0025,M-8024,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
P0026,M-8025,100.0,100.0,100.0,0.0,85.0,LIKELY MATCH
