parcel_id,municipal_plot_id,conflict_count,recommended_action,explanation
P0001,M-8000,0,NO ACTION,No significant conflict detected between the available records.
P0002,M-8001,0,NO ACTION,No significant conflict detected between the available records.
P0003,M-8002,0,NO ACTION,No significant conflict detected between the available records.
P0004,M-8003,0,NO ACTION,No significant conflict detected between the available records.
P0005,M-8004,0,NO ACTION,No significant conflict detected between the available records.
P0006,M-8005,1,REVIEW OWNER,Owner names are similar but require verification.
P0007,M-8006,0,NO ACTION,No significant conflict detected between the available records.
P0008,M-8007,0,NO ACTION,No significant conflict detected between the available records.
P0009,M-8008,0,NO ACTION,No significant conflict detected between the available records.
P0010,M-8009,0,NO ACTION,No significant conflict detected between the available records.
P0011,M-8010,0,NO ACTION,No significant conflict detected between the available records.
P0012,M-8011,0,NO ACTION,No significant conflict detected between the available records.
P0013,M-8012,0,NO ACTION,No significant conflict detected between the available records.
P0014,M-8013,0,NO ACTION,No significant conflict detected between the available records.
P0015,M-8014,0,NO ACTION,No significant conflict detected between the available records.
P0016,M-8015,1,REVIEW OWNER,Owner records differ. Cadastral: Suresh P.; Municipal: Priya Singh.
P0017,M-8016,0,NO ACTION,No significant conflict detected between the available records.
P0018,M-8017,0,NO ACTION,No significant conflict detected between the available records.
P0019,M-8018,0,NO ACTION,No significant conflict detected between the available records.
P0020,M-8019,0,NO ACTION,No significant conflict detected between the available records.
P0021,M-8020,0,NO ACTION,No significant conflict detected between the available records.
P0022,M-8021,0,NO ACTION,No significant conflict detected between the available records.
P0023,M-8022,0,NO ACTION,No significant conflict detected between the available records.
P0024,M-8023,0,NO ACTION,No significant conflict detected between the available records.
P0025,M-8024,0,NO ACTION,No significant conflict detected between the available records.
P0026,M-8025,0,NO ACTION,No significant conflict detected between the available records.
P0027,M-8026,0,NO ACTION,No significant conflict detected between the available records.
P0028,M-8027,0,NO ACTION,No significant conflict detected between the available records.
P0029,M-8028,0,NO ACTION,No significant conflict detected between the available records.
P0030,M-8029,0,NO ACTION,No significant conflict detected between the available records.
P0031,M-8030,1,REVIEW AREA,Recorded parcel areas differ by 36.00 square metres.
P0032,M-8031,0,NO ACTION,No significant conflict detected between the available records.
P0033,M-8032,0,NO ACTION,No significant conflict detected between the available records.
P0034,M-8033,0,NO ACTION,No significant conflict detected between the available records.
P0035,M-8034,0,NO ACTION,No significant conflict detected between the available records.
P0036,M-8035,1,REVIEW OWNER,Owner records differ. Cadastral: Amit S.; Municipal: Sunita Pawar.
P0037,M-8036,0,NO ACTION,No significant conflict detected between the available records.
P0038,M-8037,0,NO ACTION,No significant conflict detected between the available records.
P0039,M-8038,0,NO ACTION,No significant conflict detected between the available records.
P0040,M-8039,0,NO ACTION,No significant conflict detected between the available records.
P0041,M-8040,1,REVIEW GEOMETRY,Geometry issue: Municipal boundary appears spatially shifted.
P0042,M-8041,0,NO ACTION,No significant conflict detected between the available records.
P0043,M-8042,0,NO ACTION,No significant conflict detected between the available records.
P0044,M-8043,0,NO ACTION,No significant conflict detected between the available records.
P0045,M-8044,0,NO ACTION,No significant conflict detected between the available records.
P0046,M-8045,0,NO ACTION,No significant conflict detected between the available records.
P0047,M-8046,0,NO ACTION,No significant conflict detected between the available records.
P0048,M-8047,0,NO ACTION,No significant conflict detected between the available records.
P0049,M-8048,0,NO ACTION,No significant conflict detected between the available records.
P0050,M-8049,0,NO ACTION,No significant conflict detected between the available records.
P0051,M-8050,1,REVIEW AREA,Recorded parcel areas differ by 48.00 square metres.
P0052,M-8051,0,NO ACTION,No significant conflict detected between the available records.
P0053,M-8052,0,NO ACTION,No significant conflict detected between the available records.
P0054,M-8053,0,NO ACTION,No significant conflict detected between the available records.
P0055,M-8054,0,NO ACTION,No significant conflict detected between the available records.
P0056,M-8055,0,NO ACTION,No significant conflict detected between the available records.
P0057,M-8056,0,NO ACTION,No significant conflict detected between the available records.
P0058,M-8057,0,NO ACTION,No significant conflict detected between the available records.
